Accession,Title,Automated_Decision,Automated_Score,Automated_Reason,Final_Decision,Final_Reason,Decision_Source,Manual_Review,Evidence_Adjudication,Title_Terms,Summary_Terms,Overall_Design_Terms,Summary_Sample_Terms,Incidental_Signals,Off_Topic_Signals,Relevant_Summary_Sentences,GEO_Link
GSE303487,Transcriptome-guided development of a fibrosis-reversal compound reduces skin scarring and allows regeneration via mitochondrial uncoupling [RNA-seq],exclude,-3,毛发/脱发仅作为药物适应证、不良事件、临床表现或次要结局出现,exclude,毛发/脱发仅作为药物适应证、不良事件、临床表现或次要结局出现,automated_rule,False,False,,hair_follicle,,,outcome_only,,0,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE303487
GSE328626,Transcriptome Analysis of Palmitic Acid-treated Human Primary Hair Follicle Stem Cells,include,29,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,automated_rule,False,False,hair_follicle; hair_follicle_stem_cell,hair_follicle; hair_follicle_stem_cell,hair_follicle; hair_follicle_stem_cell,hair_follicle; hair_follicle_stem_cell,,,3,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE328626
GSE300342,H3K9me3 controls epidermis development by repressing RNA Pol II activity on key promoters and enhancers [bulk RNA-Seq],review,1,存在毛发相关描述，但缺少足够的研究对象或样本证据,include,胚胎表皮基底细胞组学直接研究毛囊形成缺陷。,manual_boundary_review,True,False,,hair_follicle,,,,,0,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE300342
GSE300343,H3K9me3 controls epidermis development by repressing RNA Pol II activity on key promoters and enhancers [CUT&Run],review,1,存在毛发相关描述，但缺少足够的研究对象或样本证据,include,胚胎表皮染色质数据直接研究毛囊形成缺陷。,manual_boundary_review,True,False,,hair_follicle,,,,,0,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE300343
GSE300346,H3K9me3 controls epidermis development by repressing RNA Pol II initiation on key promoters and enhancers [scRNA-seq],review,1,存在毛发相关描述，但缺少足够的研究对象或样本证据,include,单细胞数据覆盖毛囊形成相关的胚胎表皮谱系。,manual_boundary_review,True,False,,hair_follicle,,,,,0,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE300346
GSE318406,H3K9me3 controls epidermis development by repressing RNA Pol II activity on key promoters and enhancers [CUT&Run - Temporal],review,1,存在毛发相关描述，但缺少足够的研究对象或样本证据,include,时间序列表皮染色质数据用于解释毛囊形成过程。,manual_boundary_review,True,False,,hair_follicle,,,,,0,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE318406
GSE294435,Transcription Elongation Factor SPT6 Maintains Epidermal Homeostasis and Suppresses Skin Inflammation in Mice,review,3,存在毛发相关描述，但缺少足够的研究对象或样本证据,include,单细胞表皮研究明确将毛囊发育作为主要生物学表型之一。,manual_boundary_review,True,False,,hair_follicle,,,,,1,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294435
GSE325671,Single-cell RNA-seq profiling of the DHT-induced androgenetic alopecia (AGA) mouse model treated with anti-DKK3 antibody,include,12,标题以毛囊、毛发生物学或脱发为主要研究主题,include,标题以毛囊、毛发生物学或脱发为主要研究主题,automated_rule,False,False,alopecia; androgenetic_alopecia,hair_follicle; alopecia; androgenetic_alopecia,,,,,1,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE325671
GSE316832,Comprehensive single-cell transcriptomic profiling of the scalp from patients with moderate-to-severe alopecia areata,include,30,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,automated_rule,False,False,alopecia; scalp,hair_follicle; hair_loss; alopecia; scalp,alopecia; scalp,alopecia; hair_follicle; scalp,,,4,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE316832
GSE277257,Gene expression profile in Shh-expressing cells of hair follicles in mouse during CIA,include,21,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,automated_rule,False,False,hair_follicle,hair_follicle; alopecia,hair_follicle; hair_cycle_stage; hair_loss; hair_depletion_model,hair_follicle,,,1,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE277257
GSE286328,Single-Cell Chromatin Accessibility Landscape of Developing Perinatal Mouse Skin: A Multi-Omics Approach to Lineage Specification [scATAC-seq and scRNA-seq],include,7,摘要明确说明毛囊/脱发相关组学对象，且未被无关实验设计否定,include,摘要明确说明毛囊/脱发相关组学对象，且未被无关实验设计否定,automated_rule,False,False,,hair_follicle,,hair_follicle,,,1,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE286328
GSE324041,HTRA1 Mutation and Expression Regulation in Cerebral Small Vessel Disease,exclude,-11,毛发/脱发仅作为药物适应证、不良事件、临床表现或次要结局出现,exclude,毛发/脱发仅作为药物适应证、不良事件、临床表现或次要结局出现,automated_rule,False,False,,alopecia,,,clinical_manifestation,blood_only; cerebrovascular,0,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE324041
GSE208730,"RNA sequencing of slow-and fast-cycling epidermal stem cells vs hair follicle stem cells in murine back skin, tail skin vs oral epithelium",include,7,标题以毛囊、毛发生物学或脱发为主要研究主题,include,标题以毛囊、毛发生物学或脱发为主要研究主题,automated_rule,False,False,hair_follicle; hair_follicle_stem_cell,,,,,,0,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE208730
GSE316224,ZNF750 loss in junctional zone of hair follicle and sebaceous gland leads to severe seborrheic-like psoriasiform dermatitis [day 36],include,5,标题以毛囊、毛发生物学或脱发为主要研究主题,include,标题以毛囊、毛发生物学或脱发为主要研究主题,automated_rule,False,False,hair_follicle,hair_follicle,,,,,0,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE316224
GSE316225,ZNF750 loss in junctional zone of hair follicle and sebaceous gland leads to severe seborrheic-like psoriasiform dermatitis [day 50],include,5,标题以毛囊、毛发生物学或脱发为主要研究主题,include,标题以毛囊、毛发生物学或脱发为主要研究主题,automated_rule,False,False,hair_follicle,hair_follicle,,,,,0,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE316225
GSE314399,The human Flower isoform hFWE4 facilitates cornification in cutaneous squamous cell carcinoma,exclude,-3,毛发/脱发仅作为药物适应证、不良事件、临床表现或次要结局出现,exclude,毛发/脱发仅作为药物适应证、不良事件、临床表现或次要结局出现,automated_rule,False,False,,hair_follicle,,,tumor_origin_background,,0,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE314399
GSE315061,Effects of oxytocin receptor agonists on the hair growth ability of dermal papilla cells,include,17,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,automated_rule,False,False,dermal_papilla; hair_growth,dermal_papilla; hair_growth,dermal_papilla,,,,1,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE315061
GSE300176,Molecular Signatures and Signaling Interactions of the Hair Follicle Stem Cell Niche,include,21,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,automated_rule,False,False,hair_follicle; hair_follicle_stem_cell,hair_follicle; dermal_papilla; hair_compartment; hair_cycle,dermal_papilla; hair_compartment; bulge_cells,,,,1,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE300176
GSE305111,Rete ridges form via evolutionarily distinct mechanisms in mammalian skin,review,3,存在毛发相关描述，但缺少足够的研究对象或样本证据,exclude,主要研究 rete ridge，其摘要明确说明该结构独立于毛囊和汗腺形成。,manual_boundary_review,True,False,,hair_follicle,,,,,1,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE305111
GSE283674,Folate receptor β performs a checkpoint function in activated macrophages,exclude,-3,毛发/脱发仅作为药物适应证、不良事件、临床表现或次要结局出现,exclude,毛发/脱发仅作为药物适应证、不良事件、临床表现或次要结局出现,automated_rule,False,False,,alopecia,,,clinical_manifestation,,0,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE283674
GSE306678,SPP1+ Macrophages Contribute to Hair Growth in Contact Hypersensitivity,include,4,标题以毛囊、毛发生物学或脱发为主要研究主题,include,标题以毛囊、毛发生物学或脱发为主要研究主题,automated_rule,False,False,hair_growth,,,,,,0,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE306678
GSE306510,SPP1+ Macrophages Contribute to Hair Growth in Contact Hypersensitivity [scRNA-Seq],include,4,标题以毛囊、毛发生物学或脱发为主要研究主题,include,标题以毛囊、毛发生物学或脱发为主要研究主题,automated_rule,False,False,hair_growth,,,,,,0,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE306510
GSE306509,SPP1+ Macrophages Contribute to Hair Growth in Contact Hypersensitivity [bulk RNA-Seq],include,22,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,automated_rule,False,False,hair_growth,hair_follicle_stem_cell,hair_follicle; hair_follicle_stem_cell,hair_follicle_stem_cell,,,2,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE306509
GSE279380,Sympathetic Neuron Hyperactivation Drives Hair Follicle Necrosis and T Cell Autoreactivity,include,11,标题以毛囊、毛发生物学或脱发为主要研究主题,include,标题以毛囊、毛发生物学或脱发为主要研究主题,automated_rule,False,False,hair_follicle,hair_follicle; hair_follicle_stem_cell; hair_loss,,,,,2,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE279380
GSE310020,TGFα is Required for Hair Follicle Function During Aging and its Loss Leads to Progressive Alopecia,include,7,标题以毛囊、毛发生物学或脱发为主要研究主题,include,标题以毛囊、毛发生物学或脱发为主要研究主题,automated_rule,False,False,hair_follicle; alopecia,,,,,,0,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE310020
GSE295605,Dermal adipocytes activate hair follicle stem cells through metabolic communication [SDS II],include,23,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,automated_rule,False,False,hair_follicle; hair_follicle_stem_cell,hair_follicle; hair_follicle_stem_cell; hair_growth,hair_follicle; hair_follicle_stem_cell,,,,3,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE295605
GSE239990,Dermal adipocytes activate hair follicle stem cells through metabolic communication,include,7,标题以毛囊、毛发生物学或脱发为主要研究主题,include,标题以毛囊、毛发生物学或脱发为主要研究主题,automated_rule,False,False,hair_follicle; hair_follicle_stem_cell,,,,,,0,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE239990
GSE239988,Dermal adipocytes activate hair follicle stem cells through metabolic communication [SDS],include,14,标题以毛囊、毛发生物学或脱发为主要研究主题,include,标题以毛囊、毛发生物学或脱发为主要研究主题,automated_rule,False,False,hair_follicle; hair_follicle_stem_cell,hair_follicle; hair_follicle_stem_cell; hair_growth,,,,,3,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE239988
GSE239986,Dermal adipocytes activate hair follicle stem cells through metabolic communication [HFSC],include,23,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,automated_rule,False,False,hair_follicle; hair_follicle_stem_cell,hair_follicle; hair_follicle_stem_cell; hair_growth,hair_follicle; hair_follicle_stem_cell,,,,3,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE239986
GSE272333,TOWARDS THE GENERATION OF A LASER CAPTURE MICRODISSECTION-BASED HUMAN ANAGEN HAIR FOLLICLE TRANSCRIPTOME ATLAS,include,30,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,automated_rule,False,False,hair_follicle; hair_cycle_stage,hair_follicle; dermal_papilla; root_sheath; hair_compartment; hair_cycle_stage; scalp,dermal_papilla; root_sheath; hair_compartment; hair_cycle_stage; scalp,dermal_papilla; hair_compartment; hair_cycle_stage; hair_follicle; root_sheath; scalp,,,3,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE272333
GSE216398,miR-29 is an important driver of aging-related phenotypes,exclude,-7,毛发/脱发仅作为药物适应证、不良事件、临床表现或次要结局出现,exclude,毛发/脱发仅作为药物适应证、不良事件、临床表现或次要结局出现,automated_rule,False,False,,alopecia,,,clinical_manifestation,hepatic,0,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE216398
GSE305547,Regulatory T cells in skin utilize the Cxcr4-Cxcl12 axis to promote hair follicle regeneration,include,18,标题以毛囊、毛发生物学或脱发为主要研究主题,include,标题以毛囊、毛发生物学或脱发为主要研究主题,automated_rule,False,False,hair_follicle,hair_follicle; scalp,scalp,scalp,,,1,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE305547
GSE279813,"Gene expression changes in skin of dihydrotestosterone-induced mice after treatment of a newly-developed traditional Chinese medicine formula, Hanlianxiang.",review,4,存在毛发相关描述，但缺少足够的研究对象或样本证据,include,DHT 诱导的雄激素性脱发模型及治疗干预。,manual_boundary_review,True,False,,alopecia; androgenetic_alopecia,,,,,1,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE279813
GSE308812,Single-cell gene expression analysis of ulcerated skin in Has2 transgenic and wild-type mice with scratching-induced ulcerative derm,exclude,-3,毛发/脱发仅作为药物适应证、不良事件、临床表现或次要结局出现,exclude,毛发/脱发仅作为药物适应证、不良事件、临床表现或次要结局出现,automated_rule,False,False,,hair_loss,,,clinical_manifestation,,0,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE308812
GSE279013,H2AK119ub dynamics controls hair follicle stem cell quiescence [RNA-Seq 2],include,19,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,automated_rule,False,False,hair_follicle; hair_follicle_stem_cell,hair_follicle; hair_follicle_stem_cell,hair_follicle_stem_cell,,,,3,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE279013
GSE279012,H2AK119ub dynamics controls hair follicle stem cell quiescence [RNA-Seq 1],include,19,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,automated_rule,False,False,hair_follicle; hair_follicle_stem_cell,hair_follicle; hair_follicle_stem_cell,hair_follicle_stem_cell,,,,3,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE279012
GSE261821,The G-Protein-Coupled Receptor Kinase 2 (GRK2) Orchestrates Hair Follicle Homeostasis,include,17,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,automated_rule,False,False,hair_follicle,hair_follicle; dermal_papilla; hair_cycle_stage; hair_loss; alopecia,hair_follicle_stem_cell,,,,3,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE261821
GSE273335,Identification of unique mesenchymal subpopulations for regenerating follicular and interfollicular epithelia after devastating necrosis in the skin graft,review,3,存在毛发相关描述，但缺少足够的研究对象或样本证据,include,研究皮肤移植后滤泡上皮再生和 dermal papilla 相关间充质群体。,manual_boundary_review,True,False,,dermal_papilla,,,,,1,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE273335
GSE237520,Single-cell transcriptomic reconstruction of the human hair cycle: Capturing the temporal dynamics of skin tissue remodeling,include,14,标题以毛囊、毛发生物学或脱发为主要研究主题,include,标题以毛囊、毛发生物学或脱发为主要研究主题,automated_rule,False,False,hair_cycle,hair_follicle; hair_cycle,,hair_cycle,,,2,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE237520
GSE288124,"Single-cell sequencing WT and PADI4 cKO skin, P1",include,10,摘要明确说明毛囊/脱发相关组学对象，且未被无关实验设计否定,include,摘要明确说明毛囊/脱发相关组学对象，且未被无关实验设计否定,automated_rule,False,False,,hair_follicle; hair_compartment,,hair_follicle,,,4,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE288124
GSE291220,Serotonin activates dermal papilla cells and promotes hair growth,include,17,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,automated_rule,False,False,dermal_papilla; hair_growth,dermal_papilla; hair_growth,dermal_papilla,,,,1,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE291220
GSE248615,Antagonistic stem cell fates under stress govern decisions between hair greying and melanoma,include,4,标题以毛囊、毛发生物学或脱发为主要研究主题,include,标题以毛囊、毛发生物学或脱发为主要研究主题,automated_rule,False,False,hair_pigmentation,,,,,,0,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE248615
GSE248614,Antagonistic stem cell fates under stress govern decisions between hair greying and melanoma [RNA-seq],include,14,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,automated_rule,False,False,hair_pigmentation,hair_pigmentation,hair_follicle; hair_follicle_stem_cell; hair_compartment; hair_cycle_stage,,,,0,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE248614
GSE281669,Hair Follicle Epithelial Stem Cells Contributing to Interfollicular Epidermis during Homeostasis [single-cell RNA-seq],include,11,标题以毛囊、毛发生物学或脱发为主要研究主题,include,标题以毛囊、毛发生物学或脱发为主要研究主题,automated_rule,False,False,hair_follicle,hair_follicle,,hair_follicle,,,1,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE281669
GSE277469,Integrated single-cell chromatin and transcriptomic analyses of human peripheral immune cells in patients with alopecia areata.,include,13,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,automated_rule,False,False,alopecia,alopecia,alopecia,alopecia,,blood_only,1,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE277469
GSE273109,Hair follicle stem cell fate supports distinct clinical endotypes in Hidradenitis Suppurativa,include,14,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,automated_rule,False,False,hair_follicle; hair_follicle_stem_cell,hair_follicle,hair_follicle,,,,0,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE273109
GSE295410,Single-cell RNA-seq of mouse androgenetic alopecia models treated with CXCL12-neutralizing antibody,include,23,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,automated_rule,False,False,alopecia; androgenetic_alopecia,dermal_papilla; hair_growth; hair_loss; alopecia; androgenetic_alopecia,alopecia; androgenetic_alopecia,,,,2,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE295410
GSE256023,Effects of WAY267464 or LIT001 on the hair growth ability of dermal papilla cells,include,17,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,automated_rule,False,False,dermal_papilla; hair_growth,dermal_papilla; hair_growth,dermal_papilla,,,,1,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE256023
GSE267664,Effect of DHT modeling on AGA frontal hair follicles.,include,21,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,automated_rule,False,False,hair_follicle,alopecia; androgenetic_alopecia,hair_follicle,alopecia; androgenetic_alopecia,,,1,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE267664
GSE294647,Specific and redundant roles for Gli2 and Gli3 in establishing cell fate during hair follicle development,include,5,标题以毛囊、毛发生物学或脱发为主要研究主题,include,标题以毛囊、毛发生物学或脱发为主要研究主题,automated_rule,False,False,hair_follicle,hair_follicle,,,,,0,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294647
GSE296033,Rebamipide Induces Hair Regeneration through EP4-Driven Lipid Metabolism Remodeling,include,11,标题以毛囊、毛发生物学或脱发为主要研究主题,include,标题以毛囊、毛发生物学或脱发为主要研究主题,automated_rule,False,False,hair_growth,hair_follicle; hair_follicle_stem_cell; hair_cycle; hair_growth; hair_loss; alopecia,,,,,3,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE296033
GSE294233,RNA seq on murine basal keratinocytes and murine Lrig1 positive sorted keratinocytes,review,4,存在毛发相关描述，但缺少足够的研究对象或样本证据,include,研究 Lrig1 阳性角质形成细胞对毛囊干细胞激活的 niche 信号。,manual_boundary_review,True,False,,hair_follicle; hair_follicle_stem_cell,,,,,1,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294233
GSE280868,Identification of Keratin 5 expression lineage fibroblasts in hair follicles,include,16,标题以毛囊、毛发生物学或脱发为主要研究主题,include,标题以毛囊、毛发生物学或脱发为主要研究主题,automated_rule,False,False,hair_follicle,hair_follicle; dermal_papilla; dermal_sheath,,dermal_papilla; dermal_sheath,,,1,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE280868
GSE266896,Gene expression profile at single cell level of skin cells from back skin of control and Piezo1 inducible knock-out mice,include,7,摘要明确说明毛囊/脱发相关组学对象，且未被无关实验设计否定,include,摘要明确说明毛囊/脱发相关组学对象，且未被无关实验设计否定,automated_rule,False,False,,hair_follicle,,hair_follicle,,,1,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE266896
