Accession,Title,Reference_Decision,Rule_Decision,Rule_Reason,AI_Decision,AI_Confidence,AI_Primary_Subject,AI_Reason,AI_Evidence,AI_Repeat_Decisions,Hybrid_Decision
GSE303486,Transcriptome-guided development of a fibrosis-reversal compound reduces skin scarring and allows regeneration via mitochondrial uncoupling [DRUG-seq2],exclude,exclude,毛发/脱发仅作为药物适应证、不良事件、临床表现或次要结局出现,exclude,0.95,skin scarring and fibrosis reversal,"Hair follicle is only mentioned as a tissue spared from damage by the compound; the study's primary subject is skin scarring and fibrosis, not hair biology or alopecia.","Title focuses on fibrosis-reversal compound for skin scarring. || Summary states the study is about reducing skin scarring and fibrosis, with hair follicle damage mentioned only as an adverse effect avoided by the compound. || Overall design uses keloid fibroblasts treated with small molecules, not hair follicle cells.",exclude || exclude,exclude
GSE303487,Transcriptome-guided development of a fibrosis-reversal compound reduces skin scarring and allows regeneration via mitochondrial uncoupling [RNA-seq],exclude,exclude,毛发/脱发仅作为药物适应证、不良事件、临床表现或次要结局出现,exclude,0.95,skin scarring and fibrosis reversal,"Hair follicle is only mentioned as a tissue spared from damage by the compound; the primary subject is skin scarring and fibrosis, not hair biology or alopecia.","Title focuses on fibrosis-reversal compound for skin scarring and regeneration. || Summary states the study develops a compound to reduce skin scarring, with hair follicle damage mentioned only as an adverse effect avoided by the compound. || Overall design uses keloid fibroblasts treated with small molecules, not hair follicle cells.",exclude || exclude,exclude
GSE328626,Transcriptome Analysis of Palmitic Acid-treated Human Primary Hair Follicle Stem Cells,include,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,0.95,Human primary hair follicle stem cells treated with palmitic acid,The study directly assays hair follicle stem cells to investigate molecular mechanisms in hair follicle biology.,"Title: Transcriptome Analysis of Palmitic Acid-treated Human Primary Hair Follicle Stem Cells || Summary: HFSCs were treated with PA or vehicle control, and transcriptome sequencing was performed to investigate the molecular alterations. || Overall_Design: untreated control hair follicle stem cells (HFSCs), and HFSCs treated with palmitic acid (PA)",include || include,include
GSE300342,H3K9me3 controls epidermis development by repressing RNA Pol II activity on key promoters and enhancers [bulk RNA-Seq],include,review,存在毛发相关描述，但缺少足够的研究对象或样本证据,include,0.9,Hair follicle formation in developing epidermis,Hair follicle formation is a central phenotype and the study directly assays developing skin cells to understand its disruption.,Summary states 'disrupted hair follicle formation' as a key phenotype || Study examines epidermis morphogenesis including hair follicle development || Bulk RNA-seq on sorted basal cells from embryonic skin where hair follicles are forming,include || include,review
GSE300343,H3K9me3 controls epidermis development by repressing RNA Pol II activity on key promoters and enhancers [CUT&Run],include,review,存在毛发相关描述，但缺少足够的研究对象或样本证据,include,0.9,Hair follicle formation in developing epidermis,Hair follicle formation is a central phenotype and the study investigates its disruption at the molecular level.,"Summary states 'disrupted hair follicle formation' as a phenotype upon H3K9me3 depletion || Study examines epidermis morphogenesis, which includes hair follicle development || Single cell transcriptomic analysis of epidermal cells, which likely includes hair follicle progenitors",include || include,review
GSE300346,H3K9me3 controls epidermis development by repressing RNA Pol II initiation on key promoters and enhancers [scRNA-seq],include,review,存在毛发相关描述，但缺少足够的研究对象或样本证据,include,0.9,Hair follicle formation in developing epidermis,"Hair follicle formation is a central phenotype and the assayed epidermal cells include hair follicle progenitors, making it relevant to hair biology.","Summary states 'disrupted hair follicle formation' as a phenotype of H3K9me3 loss || scRNA-seq performed on epidermal basal cells at E16.5, a stage when hair follicle placodes are forming || Study investigates epidermis morphogenesis, which includes hair follicle development as a key component",include || include,review
GSE318406,H3K9me3 controls epidermis development by repressing RNA Pol II activity on key promoters and enhancers [CUT&Run - Temporal],include,review,存在毛发相关描述，但缺少足够的研究对象或样本证据,include,0.9,H3K9me3 role in epidermis development including hair follicle formation,Hair follicle formation is a central developmental endpoint directly assayed in this study of epidermal morphogenesis.,"Summary states 'disrupted hair follicle formation' as a key phenotype upon H3K9me3 loss || Study examines epidermal development and directly assays hair follicle formation as an endpoint || Samples are epidermal cells from developing mouse embryos, which include hair follicle progenitors",include || include,review
GSE294435,Transcription Elongation Factor SPT6 Maintains Epidermal Homeostasis and Suppresses Skin Inflammation in Mice,include,review,存在毛发相关描述，但缺少足够的研究对象或样本证据,include,0.9,"Role of SPT6 in epidermal homeostasis, hair follicle development, and skin inflammation","Hair follicle development is a central endpoint of the study, and the omics experiment is designed to explain it.","Summary states: 'SPT6 regulates skin inflammation, hair follicle development, and wound healing' || Hair follicle development is explicitly listed as a biological process affected by Supt6 knockout || scRNA-seq of epidermis from Supt6 KO mice likely captures hair follicle cells",include || include,review
GSE325671,Single-cell RNA-seq profiling of the DHT-induced androgenetic alopecia (AGA) mouse model treated with anti-DKK3 antibody,include,include,标题以毛囊、毛发生物学或脱发为主要研究主题,include,0.95,Androgenetic alopecia mouse model treated with anti-DKK3 antibody,"The study's primary disease is androgenetic alopecia, and the omics experiment is designed to understand its cellular mechanisms and treatment response.","Title explicitly states profiling of DHT-induced androgenetic alopecia mouse model || Summary describes investigation of cellular changes in AGA and effects of DKK3 blockade on hair follicle miniaturization || Overall design uses dorsal skin from AGA model, directly addressing hair loss disorder",include || include,include
GSE316832,Comprehensive single-cell transcriptomic profiling of the scalp from patients with moderate-to-severe alopecia areata,include,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,0.98,Alopecia areata scalp single-cell transcriptomics,"The study directly investigates alopecia areata, a hair-loss disorder, using scalp biopsies to profile the transcriptomic landscape of hair follicle disruption.",Title: Comprehensive single-cell transcriptomic profiling of the scalp from patients with moderate-to-severe alopecia areata || Summary: Alopecia areata (AA) is an autoimmune hair loss disorder characterized by follicular destruction. || Summary: Objective: To characterize the single-cell transcriptomic landscape underpinning AA scalp compared to healthy controls. || Summary: Methods: single-cell RNA-sequencing on lesional and nonlesional scalp biopsies from 13 patients with moderate-to-severe AA and 11 healthy controls. || Summary: Lesional keratinocytes further demonstrated downregulated hair keratins and increased interferon signaling. || Summary: Conclusion: ...disrupting immune privilege at the hair follicle and driving disease progression and/or severity.,include || include,include
GSE277257,Gene expression profile in Shh-expressing cells of hair follicles in mouse during CIA,include,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,0.98,Shh-expressing cells in hair follicles during chemotherapy-induced alopecia,"The study directly assays hair follicle cells (Shh-expressing) to investigate the mechanism of chemotherapy-induced alopecia, a hair-loss disorder.",Title: Gene expression profile in Shh-expressing cells of hair follicles in mouse during CIA || Summary: Isolated Shh-expressing cells in hair follicles of Shh-GFP+/- mice treated with CYP to study chemotherapy-induced alopecia || Overall_Design: Shh-expressing cells were isolated from hair follicles in mice before or 12 and 24 hours post CYP treatment using flow cytometry,include || include,include
GSE286328,Single-Cell Chromatin Accessibility Landscape of Developing Perinatal Mouse Skin: A Multi-Omics Approach to Lineage Specification [scATAC-seq and scRNA-seq],include,include,摘要明确说明毛囊/脱发相关组学对象，且未被无关实验设计否定,include,0.95,Hair follicle formation during perinatal mouse skin development,The study directly investigates hair follicle formation as a primary biological subject using omics data from developing skin.,"Title mentions 'Hair Follicle' indirectly via 'Lineage Specification' in developing skin || Summary explicitly states 'hair follicle formation' as a key focus || Overall design includes time points (E18.5, PD0, PD2, PD4) that capture hair follicle morphogenesis || Multi-omics approach (scATAC-seq and scRNA-seq) designed to identify drivers of fibroblast differentiation and hair follicle formation",include || include,include
GSE324041,HTRA1 Mutation and Expression Regulation in Cerebral Small Vessel Disease,exclude,exclude,毛发/脱发仅作为药物适应证、不良事件、临床表现或次要结局出现,exclude,0.95,Cerebral small vessel disease (CSVD) and HTRA1 mutations,Alopecia is a secondary phenotype in a study primarily about cerebral small vessel disease; no hair follicle or skin samples are assayed.,"Title: 'HTRA1 Mutation and Expression Regulation in Cerebral Small Vessel Disease' || Summary: Study focuses on CSVD pathogenesis, HTRA1 mutations, and effects on brain endothelial cells and cognitive behavior. || Overall_Design: Samples are peripheral blood from HTRA1 mutation carriers and healthy controls; no hair follicle or skin samples assayed. || Alopecia is only mentioned as a clinical manifestation of the syndrome, not the primary subject or assayed tissue.",exclude || exclude,exclude
GSE208730,"RNA sequencing of slow-and fast-cycling epidermal stem cells vs hair follicle stem cells in murine back skin, tail skin vs oral epithelium",include,include,标题以毛囊、毛发生物学或脱发为主要研究主题,include,0.95,Hair follicle stem cells compared to epidermal and oral epithelial stem cells,The study directly assays hair follicle stem cells as a primary biological subject for transcriptomic comparison.,"Title explicitly mentions 'hair follicle stem cells' as a comparator || Summary states comparison of 'mouse skin epidermal stem cells' and 'mouse oral epithelial stem cells', with hair follicle stem cells being a distinct population in skin || Overall design includes back skin and tail skin, which contain hair follicles, and the study aims to characterize stem cell heterogeneity",include || include,include
GSE316224,ZNF750 loss in junctional zone of hair follicle and sebaceous gland leads to severe seborrheic-like psoriasiform dermatitis [day 36],include,include,标题以毛囊、毛发生物学或脱发为主要研究主题,include,0.9,Hair follicle junctional zone and sebaceous gland in Zfp750 knockout mice,"The study directly investigates the hair follicle junctional zone, making it a primary biological subject.",Title explicitly mentions hair follicle and junctional zone || Summary states loss of Zfp750 in junctional zone of hair follicle || Overall design uses skin cells from mice with targeted knockout in hair follicle junctional zone,include || include,include
GSE316225,ZNF750 loss in junctional zone of hair follicle and sebaceous gland leads to severe seborrheic-like psoriasiform dermatitis [day 50],include,include,标题以毛囊、毛发生物学或脱发为主要研究主题,include,0.95,Hair follicle junctional zone and sebaceous gland in ZNF750 knockout mice,"The study directly investigates the hair follicle junctional zone and its role in skin inflammation, making hair follicle biology a primary subject.","Title explicitly mentions hair follicle and sebaceous gland junctional zone || Summary states loss of Zfp750 in junctional zone of hair follicle || Overall design uses skin cells from control and Zfp750 knockout mice, focusing on hair follicle biology",include || include,include
GSE314399,The human Flower isoform hFWE4 facilitates cornification in cutaneous squamous cell carcinoma,exclude,exclude,毛发/脱发仅作为药物适应证、不良事件、临床表现或次要结局出现,exclude,0.95,cutaneous squamous cell carcinoma differentiation and cornification,"The study investigates cornification and differentiation in cSCC, with hair follicles only referenced as the anatomical origin of keratinocytes; no hair follicle biology or alopecia is assayed.","Title and summary focus on cSCC, keratin pearls, and differentiation status as a prognostic marker. || Hair follicles are mentioned only as part of the tissue of origin for keratinocytes, not as a primary subject. || Experimental design uses subcutaneous xenografts of cSCC cell lines, not hair follicle samples. || No alopecia or hair biology endpoint is studied.",exclude || exclude,exclude
GSE315061,Effects of oxytocin receptor agonists on the hair growth ability of dermal papilla cells,include,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,0.95,Human dermal papilla cells and their hair growth ability,"The study directly assays dermal papilla cells, a primary hair follicle cell type, and investigates hair growth ability as the central endpoint.",Title: Effects of oxytocin receptor agonists on the hair growth ability of dermal papilla cells || Summary: We examined effects of oxytocin receptor agonists on the hair growth ability of dermal papilla cells. || Overall_Design: We analysed gene expression of human dermal papilla cells with/without oxytocin receptor agonists treatment for 6 days.,include || include,include
GSE300176,Molecular Signatures and Signaling Interactions of the Hair Follicle Stem Cell Niche,include,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,0.98,"Hair follicle stem cell niche (dermal papilla, bulge stem cells, hair germ stem cells)","The study directly assays hair follicle stem cell populations (DP, BuSC, HGSC) and their niche, making it central to hair biology.","Title explicitly states 'Hair Follicle Stem Cell Niche' || Summary describes profiling of dermal papilla, bulge stem cells, and hair germ stem cells || Overall design lists FACS-isolated Dermal Papilla, Bulge Stem Cells, and Hair Germ Stem Cells from mouse back skin || Study aims to define transcriptomes of hair follicle stem cells and their niche",include || include,include
GSE305111,Rete ridges form via evolutionarily distinct mechanisms in mammalian skin,exclude,review,存在毛发相关描述，但缺少足够的研究对象或样本证据,exclude,0.95,Epidermal rete ridges,"The study focuses on rete ridge development as an independent structure, not hair follicles or alopecia; hair follicles are only mentioned as a comparative reference.","Title: 'Rete ridges form via evolutionarily distinct mechanisms in mammalian skin' || Summary: 'rete ridges form through an independent mechanism from hair follicles and sweat glands' || Summary: 'replacement of the molecular program for formation of discrete microscopic appendages, including hair follicles and sweat glands, with a distinct program for the interconnected appendage network'",exclude || exclude,review
GSE283674,Folate receptor β performs a checkpoint function in activated macrophages,exclude,exclude,毛发/脱发仅作为药物适应证、不良事件、临床表现或次要结局出现,exclude,0.95,folate receptor beta in macrophage immune checkpoint function,"Alopecia is mentioned only as a possible autoimmune symptom in knockout mice; the study's actual subject is macrophage biology and immune checkpoint function, not hair follicle biology or alopecia disease mechanisms.","Summary states FRβ knockout mice display autoimmune symptoms that can include alopecia, but alopecia is only one of several symptoms and not the primary focus. || The study assays bone marrow-derived macrophages, not hair follicle cells or tissue. || The overall design compares gene expression in WT vs FRβ KO macrophages, with no mention of hair follicle samples.",exclude || exclude,exclude
GSE306678,SPP1+ Macrophages Contribute to Hair Growth in Contact Hypersensitivity,include,include,标题以毛囊、毛发生物学或脱发为主要研究主题,include,0.95,SPP1+ macrophages in hair growth during contact hypersensitivity,The study directly investigates hair growth as a central biological question.,Title explicitly states 'Contribute to Hair Growth' || Study investigates hair growth as a primary endpoint,include || include,include
GSE306510,SPP1+ Macrophages Contribute to Hair Growth in Contact Hypersensitivity [scRNA-Seq],include,include,标题以毛囊、毛发生物学或脱发为主要研究主题,include,0.9,SPP1+ macrophages in contact hypersensitivity and their contribution to hair growth,"The study directly investigates hair growth as a primary outcome, with immune cells profiled from skin in a model relevant to hair follicle biology.","Title explicitly states 'Contribute to Hair Growth' || Summary mentions 'skin inflammation and regeneration', which in context of hair growth suggests hair follicle biology || Study uses DPCP-induced dermatitis, a model known to affect hair follicles",include || include,include
GSE306509,SPP1+ Macrophages Contribute to Hair Growth in Contact Hypersensitivity [bulk RNA-Seq],include,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,0.95,Hair follicle stem cell transcriptional reprogramming during inflammation,"The study directly assays sorted hair follicle stem cells to investigate molecular mechanisms of hair growth during inflammation, making hair biology a primary subject.",Title mentions 'Hair Growth' and 'SPP1+ Macrophages' in the context of contact hypersensitivity || Summary states 'Transcriptomic analysis of sorted HFSCs' and 'HFSCs undergo intrinsic molecular changes that parallel their regenerative response' || Overall design describes sorting hair follicle stem cells (HFSCs) from DPCP-treated skin and control skin for transcriptomic profiling,include || include,include
GSE279380,Sympathetic Neuron Hyperactivation Drives Hair Follicle Necrosis and T Cell Autoreactivity,include,include,标题以毛囊、毛发生物学或脱发为主要研究主题,include,0.95,Hair follicle necrosis and T cell autoreactivity under stress,"The study directly investigates hair follicle biology, including necrosis of HF-TACs and autoimmune attack on the follicle, making it central to a hair follicle/alopecia collection.","Title explicitly states 'Hair Follicle Necrosis' || Summary describes stress-induced hair loss, necrosis in hair follicle transit-amplifying cells (HF-TACs), and T cell-mediated attack against the hair follicle || Overall design uses FACS-purified cells from mouse skin, with conditions relevant to hair follicle stress response",include || include,include
GSE310020,TGFα is Required for Hair Follicle Function During Aging and its Loss Leads to Progressive Alopecia,include,include,标题以毛囊、毛发生物学或脱发为主要研究主题,include,0.95,Hair follicle function and alopecia in aging mice,"The study directly investigates hair follicle function and alopecia using a mouse model, with omics data from skin epidermis containing hair follicles.","Title explicitly states TGFα is required for hair follicle function and its loss leads to progressive alopecia || Summary indicates gene expression changes in epidermis of mice lacking Tgfa, directly relevant to hair follicle biology || Overall design uses back skin epidermis from aged mice, a tissue containing hair follicles, to study alopecia",include || include,include
GSE295605,Dermal adipocytes activate hair follicle stem cells through metabolic communication [SDS II],include,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,0.98,Hair follicle stem cell activation by dermal adipocytes,"The study directly assays hair follicle stem cells to understand their activation and hair regeneration, making it central to hair biology.",Title explicitly mentions hair follicle stem cells and dermal adipocytes || Summary states the study investigates activation of hair follicle stem cells (HFSCs) leading to hair regeneration || Overall design describes treatment of mouse dorsal skin and extraction of hair follicle stem cells (Cd34+/Lgr5GFP+/Sca1-) for RNA-seq,include || include,include
GSE239990,Dermal adipocytes activate hair follicle stem cells through metabolic communication,include,include,标题以毛囊、毛发生物学或脱发为主要研究主题,include,0.95,Hair follicle stem cell activation by dermal adipocytes,"The study directly investigates hair follicle stem cell biology and their activation, which is a core hair biology topic.",Title explicitly states 'activate hair follicle stem cells' || Study focuses on metabolic communication between dermal adipocytes and hair follicle stem cells,include || include,include
GSE239988,Dermal adipocytes activate hair follicle stem cells through metabolic communication [SDS],include,include,标题以毛囊、毛发生物学或脱发为主要研究主题,include,0.95,Hair follicle stem cell activation by dermal adipocytes in response to irritation,"The study directly investigates hair follicle stem cell activation and hair regeneration, making hair biology the primary subject.","Title explicitly mentions hair follicle stem cells and metabolic communication with dermal adipocytes || Summary states that external irritation activates hair follicle stem cells (HFSCs) leading to hair regeneration || Study investigates mechanism of HFSC activation via adipocyte lipolysis and fatty acid metabolism || Overall design uses whole skin samples to study irritation-induced hair growth, with HFSCs as central biological subject",include || include,include
GSE239986,Dermal adipocytes activate hair follicle stem cells through metabolic communication [HFSC],include,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,0.98,Hair follicle stem cell activation by dermal adipocytes,"The study directly assays hair follicle stem cells to understand their activation and role in hair regeneration, making it central to hair follicle biology.",Title explicitly mentions hair follicle stem cells (HFSCs) and dermal adipocytes || Summary states the study investigates how external irritation activates HFSCs leading to hair regeneration || Overall design describes sorting of hair follicle stem cells (Cd34+/Lgr5GFP+/Sca1-) from mouse dorsal skin for RNA-seq,include || include,include
GSE272333,TOWARDS THE GENERATION OF A LASER CAPTURE MICRODISSECTION-BASED HUMAN ANAGEN HAIR FOLLICLE TRANSCRIPTOME ATLAS,include,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,1.0,Human anagen hair follicle compartment transcriptomes,"The study directly assays laser-capture microdissected compartments of human anagen hair follicles to build a transcriptome atlas, making hair follicle biology the primary subject.",Title: TOWARDS THE GENERATION OF A LASER CAPTURE MICRODISSECTION-BASED HUMAN ANAGEN HAIR FOLLICLE TRANSCRIPTOME ATLAS || Summary: systematic characterization of the transcriptome of specific human hair follicle (HF) compartments || Overall_Design: LCM-based RNA-Seq from 8 defined HF compartments of occipital scalp terminal anagen VI HFs,include || include,include
GSE216398,miR-29 is an important driver of aging-related phenotypes,exclude,exclude,毛发/脱发仅作为药物适应证、不良事件、临床表现或次要结局出现,exclude,0.95,aging-related phenotypes driven by miR-29 overexpression,"Alopecia is a secondary phenotype in a study focused on aging, and the omics data (liver RNA-seq) does not address hair biology.","Alopecia is listed as one of several aging-related phenotypes in miR-29 transgenic mice, but the study's primary focus is on miR-29's role in aging, not hair biology. || The only omics experiment is RNA-seq of liver tissue, which does not assay hair follicles or skin. || No hair follicle, skin, or alopecia-specific samples were profiled; alopecia is merely a phenotypic observation.",exclude || exclude,exclude
GSE305547,Regulatory T cells in skin utilize the Cxcr4-Cxcl12 axis to promote hair follicle regeneration,include,include,标题以毛囊、毛发生物学或脱发为主要研究主题,include,0.95,Hair follicle regeneration and immune cell interactions in human scalp skin,"The study directly investigates hair follicle regeneration as a central biological question, using scalp skin samples to profile cellular constituents and immune interactions relevant to hair biology.","Title explicitly states 'Regulatory T cells in skin utilize the Cxcr4-Cxcl12 axis to promote hair follicle regeneration' || Summary mentions 'hair follicles are microanatomic niches that attract immune cells' and the dataset was generated to study chemokines in keratinocytes and their receptors on skin lymphocytes || Overall design uses healthy human scalp skin specimens, which contain hair follicles as a primary tissue component",include || include,include
GSE279813,"Gene expression changes in skin of dihydrotestosterone-induced mice after treatment of a newly-developed traditional Chinese medicine formula, Hanlianxiang.",include,review,存在毛发相关描述，但缺少足够的研究对象或样本证据,include,0.95,Androgenetic alopecia treatment in mouse skin,The study directly investigates androgenetic alopecia using a mouse model and assays skin samples to evaluate treatment effects.,Title mentions dihydrotestosterone-induced mice and treatment for androgenetic alopecia || Summary states investigation of Hanlianxiang for treatment of androgenetic alopecia || Overall design uses DHT-induced mouse model of androgenetic alopecia and collects skin samples,include || include,review
GSE308812,Single-cell gene expression analysis of ulcerated skin in Has2 transgenic and wild-type mice with scratching-induced ulcerative derm,exclude,exclude,毛发/脱发仅作为药物适应证、不良事件、临床表现或次要结局出现,exclude,0.95,ulcerative dermatitis in mice,"Hair loss is mentioned as a symptom of ulcerative dermatitis, but the study's primary focus is on chronic skin inflammation and non-healing wounds, not hair follicle biology or alopecia. The assayed samples are ulcerated lesional skin, and the analysis aims to understand general skin injury and inflammation, not hair-specific mechanisms.","Title: 'Single-cell gene expression analysis of ulcerated skin in Has2 transgenic and wild-type mice with scratching-induced ulcerative derm' || Summary: 'Ulcerative dermatitis (UD) in mice is an idiopathic skin disease characterized by intense pruritus, hair loss, self-inflicted lesions, and progression to ulceration.' || Overall_Design: 'The ulcerated lesional skin from scratching-induced UD wild type or whole-body Has2 overexpression mice were separated and analyzed using single-cell RNA sequencing (scRNA-seq).'",exclude || exclude,exclude
